#separator:comma
#html:true
#notetype:Basic
#deck:Java::03 Współbieżność
"Jakie 4 ograniczenia ma zwykły Future?","Blokujący get, brak kompozycji, brak callbacków, brak deklaratywnej obsługi wyjątków."
"Co implementuje CompletableFuture poza Future?","CompletionStage — interfejs kompozycji (metody then*)."
"Dlaczego CF to ""promise"" i ""future""?","Można go dopełnić z zewnątrz (complete/completeExceptionally = promise) i odczytać wynik (future)."
"supplyAsync vs runAsync?","supplyAsync bierze Supplier i zwraca wynik (CF<T>); runAsync bierze Runnable bez wyniku (CF<Void>)."
"Do czego completedFuture?","Zwraca już ukończony CF z gotową wartością (short-circuit, cache-hit, testy)."
"Na jakiej puli działa CF domyślnie?","ForkJoinPool.commonPool() (~rdzenie-1), pod krótkie CPU-bound zadania."
"Czemu IO w commonPool jest złe?","Blokujące zadania zapychają wspólną pulę i głodzą resztę aplikacji (starvation) — podawaj własny Executor."
"thenApply vs thenCompose?","thenApply=map (fn zwraca wartość); thenCompose=flatMap (fn zwraca CF, spłaszcza, unika CF<CF>)."
"Do czego thenCombine?","Łączy dwa NIEZALEŻNE future gdy oba gotowe (zip), np. (u,k)->Profil."
"thenAccept vs thenRun?","thenAccept konsumuje wynik (CF<Void>); thenRun uruchamia Runnable niezależny od wyniku."
"thenApply vs thenApplyAsync?","Bez Async krok biegnie na wątku dopełniającym poprzedni etap; z Async trafia do commonPool (lub podanego executora)."
"exceptionally vs handle?","exceptionally łapie tylko błąd i mapuje na wartość; handle dostaje (wynik, wyjątek) — działa zawsze i może zmienić wynik."
"Co robi whenComplete?","Efekt uboczny na (wynik, wyjątek) — NIE zmienia wyniku ani wyjątku (logowanie/cleanup), propaguje oryginał."
"Jak propaguje się wyjątek w pipeline CF?","Owinięty w CompletionException, pomija kolejne etapy aż do handlera."
"Kiedy wyjątek zostanie połknięty?","Gdy brak handle/exceptionally/whenComplete i nie wołasz join()/get()."
"Co zwraca allOf i jak odebrać wyniki?","CF<Void> po ukończeniu wszystkich; wyniki pozbierać osobno przez join() na każdym future."
"Co robi anyOf?","Dopełnia się gdy KTÓRYKOLWIEK pierwszy się skończy (CF<Object>) — np. najszybsze źródło."
"orTimeout vs completeOnTimeout?","orTimeout dopełnia wyjątkowo TimeoutException; completeOnTimeout dopełnia wartością domyślną (Java 9+)."
"Czy orTimeout anuluje zadanie w tle?","Nie — zadanie dalej zajmuje wątek; timeout to poddanie się, nie anulowanie."
"join vs get?","get rzuca checked (Interrupted/Execution)Exception; join rzuca unchecked CompletionException — wygodne w streamach."
"Jak virtual threads zmieniają rachunek CF?","Blokujący kod staje się tani, więc znika główny powód CF; częściej sekwencyjny kod + StructuredTaskScope."
"Dlaczego nie tworzyć new Thread() na każde żądanie?","Brak reużycia (kosztowny start/teardown), nieograniczona liczba wątków (OOM, context switching), brak wspólnego zarządzania cyklem życia."
