#separator:comma
#html:true
#notetype:Basic
#deck:Java::04 Narzędzia
"Czym jest AssertJ?","Biblioteką fluent (płynnych) asercji — assertThat(actual) zwraca typowany obiekt asercji do łańcuchowania metod."
"Główny statyczny import AssertJ?","org.assertj.core.api.Assertions.* (assertThat, assertThatThrownBy, catchThrowable, tuple...)."
"Dlaczego AssertJ ma lepsze autouzupełnianie IDE niż JUnit/Hamcrest?","assertThat jest przeciążony i zwraca podtyp AbstractAssert zależny od typu argumentu, więc IDE podpowiada tylko metody sensowne dla tego typu."
"Jak działa łańcuch asercji w AssertJ?","Każda metoda asercji zwraca this (lub węższy obiekt asercji), więc kolejne wywołania łańcuchują się na tym samym obiekcie."
"Do czego służy usingRecursiveComparison()?","Do porównania obiektów pole-po-polu refleksją zamiast przez equals() — np. dla DTO/encji bez equals."
"Jak w usingRecursiveComparison pominąć pole?",".ignoringFields(""id"",""createdAt"") (lub comparingOnlyFields, ignoringActualNullFields)."
"Różnica contains vs containsExactly vs containsExactlyInAnyOrder?","contains = zawiera podane; containsExactly = dokładnie te i w tej kolejności; containsExactlyInAnyOrder = dokładnie te, kolejność bez znaczenia."
"Co robi extracting w asercji kolekcji?","Mapuje elementy na wybrane pola/wyrażenia (np. User::getName) i asercję wykonuje na wyniku; wiele pól -> tuple(...)."
"Co robi filteredOn?","Filtruje elementy kolekcji predykatem/warunkiem przed dalszą asercją (np. .filteredOn(u -> u.age()>18).hasSize(2))."
"Jak przetestować wyjątek w AssertJ?","assertThatThrownBy(() -> code).isInstanceOf(X.class).hasMessage(""..."").hasCauseInstanceOf(Y.class); lub assertThatExceptionOfType(X.class).isThrownBy(() -> code)."
"Co to soft assertions?","Zbierają wszystkie niespełnione asercje zamiast fail-fast; SoftAssertions.assertAll() (lub assertSoftly(...)) raportuje wszystkie błędy naraz."
"Domyślne zachowanie asercji AssertJ?","Fail-fast — pierwsza fałszywa asercja rzuca AssertionError i reszta się nie wykonuje."
"Do czego służy as() w AssertJ?","Dodaje czytelny opis do komunikatu błędu (as(""id %s"", id)); musi stać przed właściwą asercją."
"Jak porównać double z tolerancją?","assertThat(x).isCloseTo(expected, within(delta))."
