#separator:comma
#html:true
#notetype:Basic
#deck:Java::08 Bezpieczeństwo
"Z czego składa się JWT?","Trzy części base64url oddzielone kropkami: header.payload.signature."
"Czy JWT jest zaszyfrowany?","Nie — jest tylko zakodowany (base64url). Podpis chroni integralność, nie poufność; nie wkładaj sekretów."
"Co chroni podpis JWT?","Integralność — że payload nie został zmieniony. NIE ukrywa treści (każdy ją odczyta)."
"Co oznacza claim iss?","Issuer — kto wystawił token (np. Twój Keycloak realm). Walidowany po stronie API."
"Co oznacza claim aud?","Audience — dla kogo token jest przeznaczony (które API ma go zaakceptować)."
"Co oznacza claim sub?","Subject — identyfikator podmiotu/usera, którego dotyczy token."
"Co oznacza claim exp?","Expiry — czas wygaśnięcia tokenu (epoch seconds); po nim token jest nieważny."
"Jakie kroki obejmuje walidacja JWT?","Podpis (przez JWKS wg kid), exp/nbf, iss (zaufany wystawca), aud (dla tego API)."
"Skąd resource server bierze klucz do weryfikacji podpisu?","Z endpointu JWKS authorization servera; wybiera klucz po kid z headera."
"HS256 vs RS256?","HS256 = symetryczny (wspólny sekret); RS256 = asymetryczny (prywatny podpisuje, publiczny weryfikuje) — lepszy dla wielu serwisów."
"Główna zaleta JWT/stateless auth?","Serwer nie trzyma sesji — skaluje się poziomo, bez sticky sessions, idealne dla mikroserwisów i load-balancingu."
"Główna wada JWT?","Trudno unieważnić przed exp — skradziony token działa do wygaśnięcia. Mitigacja: krótki access token + refresh."
"Wzorzec access + refresh token?","Krótkożyjący access (do API jako Bearer) + długożyjący refresh (tylko do wymiany na nowy access w AS)."
"localStorage vs httpOnly cookie na token?","localStorage podatny na XSS (JS odczyta), httpOnly cookie odporny na XSS ale podatny na CSRF (potrzeba SameSite/anty-CSRF)."
"Po co jest OAuth2?","Delegacja autoryzacji — dostęp third-party do zasobów usera bez podawania mu hasła (""zaloguj przez Google"")."
"Role w OAuth2?","Resource owner (user), client (aplikacja), authorization server (wydaje tokeny), resource server (chronione API)."
"Który grant type dla SPA/mobile?","Authorization Code + PKCE (klient publiczny bez secretu, PKCE chroni przechwycony code)."
"Który grant type dla machine-to-machine?","Client Credentials — klient uwierzytelnia się secretem, dostaje access token (bez usera)."
"Które grant types są przestarzałe?","Implicit i Resource Owner Password Credentials (deprecated w OAuth 2.1)."
"Po co PKCE?","Chroni Authorization Code Flow u klienta publicznego przed przechwyceniem code (code_verifier/code_challenge S256)."
"OAuth2 vs OIDC?","OAuth2 = autoryzacja (""co możesz""); OIDC = warstwa uwierzytelniania na OAuth2 dodająca tożsamość (ID Token, userinfo, scope openid)."
"Czym różni się ID token od access tokenu?","ID token (OIDC) niesie tożsamość usera i jest dla klienta; access token jest dla API. Nie wysyłaj ID tokenu do API jako Bearer."
"Jak skonfigurować Spring Boot resource server pod Keycloak?","spring-boot-starter-oauth2-resource-server + issuer-uri realmu; Spring pobiera JWKS i waliduje JWT automatycznie."
"Czym jest Keycloak?","Open-source IAM/Identity Provider od Red Hat wdrażający OAuth2/OIDC/SAML — uwierzytelnianie, SSO, MFA, federacja, zarządzanie użytkownikami."
"Po co gotowy IdP zamiast własnego auth?","Gotowe i przetestowane SSO, MFA, social login, federacja i flow OAuth2 — własny auth = luki bezpieczeństwa."
"Co to REALM w Keycloak?","Izolowana przestrzeń użytkowników, klientów, ról i grup z własnym issuerem i kluczami podpisu — jednostka izolacji (kluczowa dla multitenancy)."
"Confidential vs public client?","Confidential ma sekret (backend) i używa Authorization Code/Client Credentials; public bez sekretu (SPA/mobile) używa wyłącznie Authorization Code + PKCE."
"Realm role vs client role?","Realm role jest globalna w realmie (realm_access.roles); client role zawężona do klienta (resource_access.{client}.roles)."
"Do czego służą redirect URIs w client?","Whitelist dozwolonych adresów powrotu po logowaniu — ochrona przed open redirect / przechwyceniem code."
"Co to JWKS i po co?","Endpoint z publicznymi kluczami realmu (jwks_uri) do lokalnej weryfikacji podpisu JWT bez round-tripu do Keycloaka."
"Gdzie znajdziesz adresy endpointów OIDC?","W discovery document: /realms/{realm}/.well-known/openid-configuration."
"Jak Resource Server waliduje access token?","Lokalnie: weryfikuje podpis JWT kluczem z JWKS (po kid) oraz sprawdza iss, exp, aud/azp — bez zapytania do Keycloaka."
"Do czego służą protocol mappers?","Wstrzykują dodatkowe claimy do tokenu (role, atrybuty usera, tenant_id, groups) — bez mappera claim nie trafi do JWT."
"Co to token exchange?","Wymiana jednego tokenu na inny (impersonacja, zmiana audiencji/klienta, service-to-service) — wymaga włączenia i uprawnień."
"Jak zintegrować Keycloak ze Spring Boot API?","Jako OAuth2 Resource Server: ustawić issuer-uri, Spring pobierze JWKS i zwaliduje JWT automatycznie."
"Czemu hasRole('ADMIN') nie działa domyślnie z Keycloak?","Bo role są w claimie realm_access.roles, a domyślny konwerter czyta scope — trzeba custom JwtAuthenticationConverter i prefiks ROLE_."
"Realm-per-tenant vs jeden realm w multitenancy?","Realm-per-tenant = twarda izolacja i osobne IdP, ale kosztowny narzut; jeden realm + grupy/tenant_id = skalowalny przy wielu tenantach, izolacja logiczna."
"Jak provisionować tenantów programowo?","Przez Admin REST API (/admin/realms/...) — tworzenie realmów/klientów/userów/ról z backendu jako service account."
"Najczęstszy błąd konfiguracji issuera za proxy?","iss w tokenie różni się od issuer-uri w apce — trzeba ustawić KC_HOSTNAME i przekazywać X-Forwarded-* / KC_PROXY_HEADERS."
"Jak uruchomić Keycloak lokalnie?","Kontener quay.io/keycloak/keycloak z komendą start-dev (tylko dev); produkcja: start + Postgres + HTTPS."
"Czym różni się OIDC od OAuth2 w kontekście Keycloak?","OAuth2 to autoryzacja (access token); OIDC dokłada warstwę uwierzytelniania (id_token, userinfo — kim jest user)."
"Jak obsłużyć wielu issuerów (realm-per-tenant) w Spring?","JwtIssuerAuthenticationManagerResolver z listą zaufanych issuerów — resolver dobiera walidator per token."
"Czemu access token robi się krótki?","JWT jest ważny do exp i trudno go odwołać; krótki TTL ogranicza okno nadużycia, a refresh token odnawia dostęp."
"Czym jest OWASP?","Fundacja non-profit publikująca darmowe standardy i narzędzia bezpieczeństwa aplikacji (Top 10, ASVS, ZAP, Dependency-Check)."
"Czym jest OWASP Top 10?","Rankingiem 10 najczęstszych KATEGORII podatności aplikacji webowych (edycja 2021)."
"Która kategoria jest nr 1 w OWASP Top 10 2021?","Broken Access Control (A01)."
"Co to IDOR?","Insecure Direct Object Reference — dostęp do cudzego zasobu przez podmianę ID, bo brak sprawdzenia właściciela."
"Jak bronić się przed IDOR w Spring?","@PreAuthorize + sprawdzenie właściciela/tenanta zasobu (np. findByIdAndOwnerId), nie tylko ""zalogowany""."
"Dlaczego IDOR jest krytyczny w multitenancy?","Bez filtra po tenant_id jeden tenant widzi dane drugiego — izolację wymuszaj centralnie (Hibernate filter / RLS)."
"Jak zapobiegać SQL injection?","Parametryzacja: PreparedStatement (?) lub named params w JPA; NIGDY konkatenacja stringów."
"Dlaczego parametryzacja chroni przed injection?","Sterownik wysyła strukturę zapytania i wartości osobno — dane nigdy nie są parsowane jako SQL."
"Co to XSS?","Wstrzyknięcie skryptu w treść renderowaną w przeglądarce innego użytkownika (stored/reflected/DOM)."
"Czemu API zwracające JSON jest mniej podatne na XSS?","Content-Type application/json nie jest renderowany jako HTML, a Jackson escape'uje; kluczowy jest poprawny Content-Type."
"Jak przechowywać hasła użytkowników?","Hash adaptacyjny z solą: BCrypt lub Argon2 — nigdy MD5/SHA-1 na goło."
"Dlaczego nie trzymać sekretów w payloadzie JWT?","JWT jest tylko podpisany, nie szyfrowany — payload może odczytać każdy."
"Co to Security Misconfiguration (A05)?","Domyślne hasła, nadmierne uprawnienia, odsłonięty actuator, stacktrace w odpowiedzi."
"Jak zabezpieczyć actuator w Spring Boot?","Wystawić tylko health/info, resztę za auth (exposure.include), najlepiej osobny port/sieć."
"Czym był Log4Shell?","CVE-2021-44228 — RCE przez podatną wersję Log4j; przykład A06 (vulnerable components)."
"Jak skanować zależności pod kątem CVE?","OWASP Dependency-Check, Snyk, Dependabot/Renovate w CI + aktualny Spring Boot BOM."
"Kiedy CSRF jest groźne?","Gdy uwierzytelniasz sesją+cookie (przeglądarka dołącza cookie automatycznie); przy stateless JWT w nagłówku zwykle nie."
"Co to session fixation i jak bronić?","Atakujący narzuca ID sesji przed logowaniem; obrona: zmiana ID sesji po logowaniu (Spring Security domyślnie)."
"Czemu niebezpieczna jest deserializacja niezaufanych danych?","Java native deserialization pozwala na RCE przez gadget chains — nie deserializuj niezaufanego wejścia."
"Co to SSRF?","Server-Side Request Forgery — serwer wykonuje request pod adres wskazany przez atakującego; blokuj adresy wewnętrzne i metadata cloud."
"Gdzie trzymać sekrety zamiast repo?","Zmienne środowiskowe, HashiCorp Vault, k8s Secrets — nigdy w gicie; z rotacją i least privilege."
"Wymień 3 nagłówki bezpieczeństwa.","HSTS (wymuś HTTPS), CSP (ogranicz źródła skryptów), X-Content-Type-Options: nosniff."
"Authentication vs authorization?","Authentication = ""kim jesteś"" (weryfikacja tożsamości), authorization = ""co ci wolno"" (dostęp już uwierzytelnionego). Najpierw authN, potem authZ."
"Czym jest Spring Security pod spodem?","Łańcuchem filtrów serwletowych (SecurityFilterChain) wpiętym PRZED DispatcherServlet, wybieranym przez FilterChainProxy."
"Jak konfiguruje się Spring Security 6?","Beanem SecurityFilterChain + lambda DSL na HttpSecurity; WebSecurityConfigurerAdapter został USUNIĘTY."
"Gdzie przechowywany jest Authentication bieżącego użytkownika?","W SecurityContext trzymanym przez SecurityContextHolder w ThreadLocal (domyślnie MODE_THREADLOCAL)."
"Czemu SecurityContext jest czyszczony po żądaniu?","Bo kontener reużywa wątki z puli — bez czyszczenia doszłoby do wycieku tożsamości między żądaniami."
"Co zwraca Authentication.getPrincipal()?","Zwykle obiekt UserDetails (reprezentuje zalogowanego użytkownika); przed authN bywa to String (login)."
"Różnica Principal, Authentication, UserDetails?","Principal (java.security) to tylko getName(); Authentication go rozszerza o authorities+credentials; UserDetails to ""użytkownik z bazy"" zwracany jako principal."
