#separator:comma
#html:true
#notetype:Basic
#deck:Java::06 Persystencja
"Czym jest Flyway?","Narzędziem do wersjonowania schematu bazy (database migrations) — ""kontrola wersji dla bazy""; wykonuje migracje SQL raz, w kolejności, i zapisuje historię."
"Czemu ddl-auto=update jest niebezpieczny na produkcji?","Jest nieprzewidywalny (DDL z introspekcji), bez kontroli/review, bez historii, tylko dodaje — nie usuwa kolumn/tabel ani nie zmienia typów."
"Migracja versioned (V) — kiedy się wykonuje?","Dokładnie raz, w rosnącej kolejności wersji; po zastosowaniu jest niemutowalna."
"Migracja repeatable (R) — kiedy się wykonuje?","Za każdym razem, gdy zmieni się jej checksum, zawsze po wszystkich versioned; do widoków, procedur, funkcji (CREATE OR REPLACE)."
"Naming convention Flyway?","prefix(V/R) + wersja + separator ""__"" (dwa podkreślenia) + opis + .sql, np. V2__add_user_email.sql."
"Co przechowuje tabela flyway_schema_history?","Log zastosowanych migracji: version, description, checksum, installed_on/by, execution_time, success."
"Co to checksum w Flyway i po co?","CRC-32 treści migracji porównywane przy starcie z zapisanym w historii — wykrywa zmianę już zastosowanej migracji."
"Co się stanie, gdy edytujesz zastosowaną migrację?","Checksum się rozjedzie → FlywayValidateException przy starcie, aplikacja nie wstanie; dlatego migracje są niemutowalne."
"Jak ""poprawić"" błędną, już zastosowaną migrację?","Napisać nową migrację ""w przód"" (kolejny numer wersji), nie edytować starej."
"Czym jest baseline we Flyway?","Oznaczeniem aktualnego stanu istniejącej bazy jako wersji bazowej; Flyway nie wykonuje migracji o wersji <= baseline."
"Kiedy Flyway uruchamia migracje w Spring Boot?","Przy starcie kontekstu, wcześnie — PRZED inicjalizacją EntityManagerFactory/JPA, żeby Hibernate widział zmigrowaną bazę."
"Jakie ddl-auto ustawić z Flyway na produkcji?","validate (Hibernate tylko sprawdza zgodność schematu z encjami) lub none; nigdy update/create."
"Czy Flyway Community wspiera rollback?","Nie — jest forward-only; undo migrations (U) to funkcja płatna. W praktyce piszesz migrację naprawiającą ""w przód""."
"Na czym polega wzorzec expand/contract?","Zmianę schematu rozbijasz na niełamiące etapy (dodaj nowe → migruj dane → przełącz kod → usuń stare), by stara i nowa wersja app działały równocześnie (zero-downtime)."
"Gdzie domyślnie leżą migracje Flyway w Spring Boot?","W src/main/resources/db/migration (classpath:db/migration)."
"Flyway vs Liquibase — główna różnica?","Flyway = surowy SQL, prosty, przewidywalny, forward-only; Liquibase = XML/YAML/JSON, DB-agnostic, wbudowany rollback, więcej abstrakcji."
"Jakiej zależności wymaga Flyway w Spring Boot?","org.flywaydb:flyway-core (dla PostgreSQL 15+ dodatkowo flyway-database-postgresql); resztę robi auto-konfiguracja."
"Dobra praktyka co do rozmiaru migracji?","Jedna zmiana logiczna na migrację — łatwiejszy review i mniejszy blast radius; testuj na kopii produkcji."
"Czym jest JDBC?","Standardowe API Javy (java.sql) do relacyjnych baz; konkretny sterownik implementuje je per baza."
"DriverManager vs DataSource?","DriverManager tworzy świeże połączenie za każdym razem; DataSource (preferowany) to fabryka, zwykle z pulą pod spodem."
"Dlaczego zawsze PreparedStatement?","Chroni przed SQL injection (parametry to dane, nie składnia), umożliwia cache planu i dba o typy."
"Czemu konkatenacja SQL jest niebezpieczna?","Dane użytkownika stają się częścią składni zapytania — atakujący zmienia jego sens (SQL injection)."
"Czy w PreparedStatement można parametryzować nazwę tabeli?","Nie — tylko wartości; identyfikatory trzeba walidować allow-listą."
"Jaka jest domyślna wartość autoCommit w JDBC?","true — każdy statement commitowany osobno (pułapka dla operacji atomowych)."
"Jak prowadzić transakcję ręcznie w JDBC?","setAutoCommit(false), potem commit() na sukces lub rollback() na wyjątek."
"Do czego służy batch (addBatch/executeBatch)?","Grupuje wiele operacji w jeden przelot do bazy — redukuje koszt round-tripów sieciowych."
"Dlaczego otwarcie połączenia jest drogie?","TCP + TLS handshake + uwierzytelnienie + sesja w bazie = dziesiątki ms (w PostgreSQL osobny proces backendu)."
"Co robi connection pool?","Trzyma otwarte połączenia i wypożycza je (mikrosekundy) zamiast otwierać nowe per żądanie."
"Co znaczy close() na połączeniu z puli?","Zwraca połączenie do puli do reużycia, nie zamyka go fizycznie."
"Czemu HikariCP jest najszybszy?","Mały narzut, brak zbędnych warstw nad JDBC, zoptymalizowane wypożyczanie (ConcurrentBag)."
"Najważniejsze ustawienie puli?","maximumPoolSize — górny limit połączeń."
"Dlaczego maxLifetime musi być krótszy niż timeout bazy/proxy?","By pula odświeżyła połączenie zanim baza/proxy je zerwie — inaczej losowe connection reset."
"Mit ""większa pula = lepiej""?","Fałsz — za dużo połączeń przeciąża bazę (CPU/dyski/locki) i obniża throughput; mała pula ~10 zwykle wystarcza."
"Formuła startowa na rozmiar puli?","~ (rdzenie_bazy × 2) + liczba wrzecion dysków; skalować dopiero wg metryk."
"Czym jest wyciek połączenia i jego skutek?","Niezamknięty Connection nie wraca do puli; po wyczerpaniu puli getConnection() blokuje i aplikacja wisi."
"Jak wykrywać wycieki w HikariCP?","leakDetectionThreshold (log przy zbyt długim wypożyczeniu) + metryki hikaricp_connections_active/pending."
"Jak Hibernate/JPA korzysta z JDBC?","EntityManager pobiera Connection z tego samego DataSource (puli) i wykonuje SQL przez PreparedStatement."
"Który pooler jest domyślny w Spring Boot?","HikariCP."
"JPA vs Hibernate?","JPA to specyfikacja (Jakarta Persistence), Hibernate to jej najpopularniejsza implementacja/provider."
"Jak nazywa się pakiet JPA w Jakarta EE 9+ / Spring Boot 3?","jakarta.persistence (wcześniej javax.persistence)."
"Co rozwiązuje ORM?","Object-relational impedance mismatch — niezgodność modelu obiektowego (grafy, dziedziczenie) z relacyjnym (tabele, FK)."
"Czym jest persistence context?","Jednostka pracy EntityManagera: cache pierwszego poziomu (L1) + identity map."
"Co gwarantuje identity map?","Jeden obiekt na parę (typ, id) w obrębie sesji — dwa find() zwracają tę samą referencję (a1 == a2)."
"Wymień 4 stany encji.","Transient, managed/persistent, detached, removed."
"Co robi persist()?","Przenosi encję transient → managed i planuje INSERT (odroczony do flush)."
"Czym różni się persist od merge?","persist działa na transient i modyfikuje obiekt; merge działa na detached i ZWRACA nową managed kopię, oryginał zostaje detached."
"Co to dirty checking?","Hibernate robi snapshot managed encji i przy flush porównuje stan — zmiany generują UPDATE bez wywołania save()."
"Kiedy Hibernate robi flush?","Przed zapytaniem JPQL (AUTO), przy commit transakcji, lub ręcznie em.flush()."
"Domyślny fetch dla @ManyToOne i @OneToOne?","EAGER."
"Domyślny fetch dla @OneToMany i @ManyToMany?","LAZY."
"Jaki fetch zaleca się w praktyce?","LAZY wszędzie, a potrzebne dane dociągać przez JOIN FETCH lub EntityGraph."
