"Kto sformułował DDD?","Eric Evans (książka ""Domain-Driven Design"", 2003) — podejście do złożonej domeny biznesowej."
"Co to ubiquitous language?","Wspólny język biznesu i programistów, spójny w rozmowie i w kodzie, w obrębie jednego bounded context."
"Co to bounded context?","Granica, w której model i język są spójne; ten sam termin może znaczyć co innego w innym kontekście."
"Co to context map?","Mapa relacji i zależności między bounded contexts (kto od kogo zależy, gdzie tłumaczenia/ACL)."
"Subdomeny w DDD?","Core (przewaga konkurencyjna), supporting (potrzebne, nieunikalne), generic (gotowe/kupowane)."
"Czym różni się entity od value object?","Entity ma tożsamość i cykl życia (równość po ID); value object nie ma tożsamości, jest niemutowalny, równość po atrybutach."
"Czemu rekord Javy pasuje na value object?","Niemutowalny, equals/hashCode po wartości z automatu, zwięzły, walidacja w konstruktorze kanonicznym."
"Co to aggregate?","Klaster encji i value objectów traktowany jako całość w granicy spójności i transakcji."
"Co to aggregate root?","Jedyny punkt wejścia do agregatu; świat zewnętrzny modyfikuje wnętrze tylko przez root."
"Czemu referencje między agregatami po ID, nie po obiekcie?","Utrzymuje małe granice transakcyjne, upraszcza ładowanie, unika wciągania pół bazy do pamięci."
"Granica transakcyjna w DDD?","Jeden agregat = jedna transakcja = jedna granica invariantów; między agregatami eventual consistency."
"Co to repository w DDD?","Kolekcjo-podobny interfejs do zapisu/odczytu agregatów, jeden na aggregate root; w Springu Spring Data JPA."
"Co to domain service?","Logika domenowa niepasująca do żadnej encji/VO (dotyczy kilku agregatów), wciąż część domeny; nie to samo co @Service aplikacji."
"Co to domain event?","Fakt, że coś się wydarzyło w domenie (nazwa w czasie przeszłym), np. CandidateApplied; nośnik eventual consistency."
"Co to factory w DDD?","Hermetyzuje złożone tworzenie/rekonstrukcję agregatu lub VO, gdy konstruktor to za mało."
"Co to anemic domain model?","Antywzorzec: encje to gołe gettery/settery bez zachowania, logika rozproszona w serwisach; łamie enkapsulację."
"Co to rich domain model?","Zachowanie i invarianty żyją w encjach/agregatach obok chronionych danych; zamiast setStatus() metoda intencji reject()."
"Problem DDD z JPA?","Encje JPA ciągną w anemię (bezarg. konstruktor, mutowalność, sprzężenie z ORM); rozwiązanie: bogaty model z prywatnymi setterami lub osobne encje persystencji."
"Kiedy DDD to przesada?","Przy prostym CRUD z mało regułami; agregaty i porty to wtedy zbędny narzut — wystarczy prosta warstwa serwisów."
"Jak DDD łączy się z hexagonal?","Repository-port i model domeny w rdzeniu, adaptery (JPA, REST) na zewnątrz; use case orkiestruje, agregat decyduje."
"Sprzężenie czasowe (temporal coupling) w REST?","Nadawca i odbiorca muszą być jednocześnie dostępni — odbiorca musi żyć TERAZ, inaczej timeout/błąd."
"Główna zaleta komunikacji asynchronicznej?","Luźne sprzężenie — nadawca nie zna/nie czeka na odbiorców, broker buforuje i daje odporność na chwilową niedostępność."
"Message vs Event vs Command?","Message = ogólna porcja danych; Command = ""zrób to"" do konkretnego odbiorcy; Event = ""to się stało"" (fakt, przeszły), nadawca nie wie kto zareaguje."
"Model RabbitMQ?","Producer → Exchange → (routing key/binding) → Queue → Consumer; komunikat znika po ack (kolejka)."
"Model Kafki?","Trwały append-only log podzielony na partycje; konsument trzyma offset; zdarzenia zostają (retencja), możliwy replay."
"Czym jest partycja w Kafce?","Jednostka równoległości i kolejności w topicu; klucz komunikatu → hash → partycja (te same klucze w tej samej partycji)."
"Consumer group w Kafce?","Grupa instancji tej samej aplikacji; każda partycja przypisana dokładnie jednemu konsumentowi w grupie → skalowanie + kolejność per partycja."
"RabbitMQ vs Kafka — retencja?","RabbitMQ usuwa komunikat po ack; Kafka trzyma zdarzenia (retencja czasowa/rozmiarowa), umożliwia replay i wielu niezależnych konsumentów."
"At-most-once?","Dostarczenie 0 lub 1 raz; komunikat może zginąć, brak retry — dla nieważnych danych (np. metryki)."
"At-least-once?","Dostarczenie co najmniej raz; ack po przetworzeniu, padnięcie przed ackiem → redelivery = duplikaty. Domyślny wybór, wymusza idempotencję."
"Dlaczego exactly-once jest trudne?","End-to-end wymaga transakcji/dedup na każdym styku i side-effects (mail, płatność) nie da się cofnąć — w praktyce robi się at-least-once + idempotencja."
"Idempotentny konsument?","Przetworzenie tego samego komunikatu N razy daje ten sam efekt co raz — np. dedup po message_id (UNIQUE), upsert, naturalny klucz."
"Co to DLQ (dead letter queue)?","Kolejka na komunikaty nieprzetwarzalne po N próbach (poison message) — zamiast nieskończonej pętli redelivery blokującej strumień."
"Problem dual-write?","Zapis do bazy i publikacja eventu to dwa systemy bez wspólnej transakcji — padnięcie między nimi daje niespójność (są dane, brak eventu lub odwrotnie)."
"Outbox pattern?","Event zapisujesz do tabeli outbox w tej samej lokalnej transakcji co dane; osobny relay (poller/CDC) publikuje do brokera. Usuwa dual-write, daje at-least-once."
"Event notification vs event-carried state transfer?","Notification niesie tylko fakt+id (konsument dowołuje po dane); state transfer niesie cały stan (konsument nie dowołuje, pełny decoupling, większy event)."
"Co to saga?","Transakcja rozproszona jako sekwencja lokalnych transakcji + kompensacje (logiczne cofnięcia) zamiast globalnego 2PC."
"Choreografia vs orkiestracja sagi?","Choreografia — serwisy reagują na eventy nawzajem, bez koordynatora; orkiestracja — centralny orchestrator steruje krokami i kompensacjami."
"Eventual consistency — skutek dla UX?","Stan zbiega się z opóźnieniem, nie natychmiast — zwracasz 202/pending, brak read-your-writes, UI pokazuje statusy ""przetwarzamy""."
"@TransactionalEventListener(AFTER_COMMIT) — po co?","Listener odpala się dopiero po commit transakcji, by nie publikować eventu o stanie, który rollback może cofnąć."
"Kiedy NIE używać messagingu?","Gdy potrzebna natychmiastowa odpowiedź i silna spójność, prosty CRUD/monolit, brak szpil ruchu — prostota ważniejsza niż rozproszenie."
"Czym jest monolit (deployment)?","Cały system jako jeden deployowalny artefakt, jeden proces, zwykle jedna baza; moduły wołają się in-process."
"Główna zaleta monolitu przy transakcjach?","Lokalna transakcja ACID obejmująca wiele operacji (jeden @Transactional, rollback za darmo)."
"Główne wady monolitu przy skali?","Skalowanie całości nie części, rosnący coupling, długi build, jeden stack technologiczny."
"Czym jest monolit modularny?","Jeden artefakt z modułami o jasnych granicach (publiczne API + internal); most między monolitem a mikroserwisami."
"Czym są mikroserwisy?","Zestaw niezależnie wdrażanych usług, każda ownuje bounded context i własną bazę, komunikacja przez sieć."
"Wokół czego dzieli się usługi?","Wokół zdolności biznesowych (bounded context z DDD), nie wokół warstw technicznych."
"Główny koszt mikroserwisów?","Złożoność rozproszona: sieć zawodzi, latencja, spójność eventual, saga, tracing, DevOps overhead."
"Co to distributed monolith?","Antywzorzec: usługi rozproszone ale silnie sprzężone (release lockstep, wspólna baza) — koszty rozproszenia bez korzyści."
"Dlaczego distributed monolith jest gorszy od monolitu?","Ma sprzężenie monolitu plus podatki sieci (latencja, deployment N usług, tracing)."
