#separator:comma
#html:true
#notetype:Basic
#deck:Java::11 Flowable
"Co to BPMN 2.0?","Standard OMG do graficznego modelowania procesów biznesowych, będący jednocześnie wykonywalnym XML-em."
"BPMN jest tylko rysunkiem?","Nie — BPMN 2.0 jest executable: ten sam plik .bpmn20.xml jest diagramem i wsadem dla silnika procesowego."
"Process definition vs process instance?","Definicja to wersjonowany szablon z pliku BPMN; instancja to konkretne wykonanie (relacja 1:N)."
"Co reprezentuje token w BPMN?","Znacznik sterowania wędrujący strzałkami przez diagram; aktywny jest element, na którym stoi token."
"Kiedy znika instancja procesu?","Gdy wszystkie aktywne tokeny dotrą do end eventów (nie ma już żadnego aktywnego tokenu)."
"Czym jest wait state?","Trwały punkt zatrzymania (np. user task), gdzie silnik zapisuje stan do bazy i zwalnia wątek."
"User task vs service task?","User task czeka na człowieka (wait state); service task wykonuje kod automatycznie i token przelatuje."
"Do czego służy business rule task?","Deleguje decyzję do tablicy decyzyjnej DMN (logika reguł poza diagramem BPMN)."
"Exclusive (XOR) gateway — działanie?","Wybiera dokładnie jedną ścieżkę wg warunków; pierwszy prawdziwy warunek wygrywa."
"Parallel (AND) gateway — działanie?","Fork uruchamia wszystkie gałęzie równolegle; join czeka na wszystkie tokeny."
"Inclusive (OR) gateway — działanie?","Uruchamia każdą gałąź, której warunek jest prawdziwy (0..n); scala czekając na aktywne."
"Event-based gateway — do czego?","Czeka aż nastąpi jedno z konkurujących zdarzeń (np. wiadomość vs timeout)."
"Conditional flow vs default flow?","Conditional ma conditionExpression i wymaga true; default (""w przeciwnym razie"") jest brany, gdy żaden warunek nie zaszedł."
"Co to process variables?","Mapa nazwa→wartość przypięta do instancji, przepływająca przez proces i zasilająca warunki bramek (${...})."
"Pool vs lane w BPMN?","Pool to uczestnik/organizacja; lane to rola/dział wewnątrz puli — porządkują odpowiedzialność, nie wykonanie."
"Typy zdarzeń (events) w BPMN?","message, timer, error, signal (jako start/intermediate/end)."
"Dlaczego BPMN daje konfigurowalność bez zmian w kodzie?","Zmiana procesu = nowa wersja definicji (diagramu), nie refaktor Javy — admin tenantu dopracowuje przepływ sam."
"Co robi silnik na XOR, gdy żaden warunek nie jest true i brak default?","Zgłasza błąd wykonania — token nie ma dokąd pójść."
"Który silnik wykonuje BPMN w projekcie?","Flowable (embedded process engine w Spring Boot)."
"Dobra praktyka: gdzie trzymać logikę reguł?","W DMN (business rule task), a nie w warunkach bramek — bramka mówi którędy, DMN dlaczego."
"Co to DMN?","Decision Model and Notation — standard OMG do modelowania decyzji/reguł biznesowych, oddzielony od kodu i od przepływu BPMN."
"Co DMN oddziela?","Logikę decyzyjną (reguły) od kodu Javy i od przepływu procesu (BPMN) — reguły w edytowalnej tablicy."
