#separator:comma
#html:true
#notetype:Basic
#deck:Java::02 JVM
"Trzy główne fazy ładowania klasy w JVM?","Loading, Linking (Verification→Preparation→Resolution), Initialization."
"Co robi faza Loading?","Classloader odczytuje bajty .class, JVM parsuje je i tworzy obiekt Class w metaspace."
"Trzy podfazy Linking?","Verification (poprawność/bezpieczeństwo bytecode), Preparation (alokacja + domyślne wartości pól statycznych), Resolution (referencje symboliczne → bezpośrednie)."
"Co robi Preparation z static int x = 5?","Alokuje pole i ustawia wartość DOMYŚLNĄ (0) — kod inicjalizatora jeszcze się nie wykonuje."
"Kiedy static int x = 5 dostaje 5?","W fazie Initialization, w metodzie <clinit>."
"Co to <clinit>?","Metoda class initializer — statyczne inicjalizatory pól i bloki static{} scalone i uruchamiane leniwie, thread-safe."
"Co to parent delegation model?","loadClass najpierw deleguje do rodzica (aż bootstrap), sam ładuje dopiero gdy rodzic zawiedzie."
"Po co parent delegation?","Bezpieczeństwo (nie podmienisz java.lang.String) i brak duplikatów klas rdzenia."
"Hierarchia classloaderów (Java 9+)?","Bootstrap (natywny, java.base) → Platform (moduły platformy) → Application/System (classpath/module path) → custom."
"Który classloader zwraca null z getClassLoader()?","Bootstrap classloader (natywny, brak obiektu Java)."
"Tożsamość klasy w JVM to?","Para (pełna nazwa + defining classloader) — ta sama nazwa z dwóch loaderów = dwa różne typy."
"Dlaczego ClassCastException mimo tej samej nazwy klasy?","Bo klasy załadowane przez różne classloadery to różne typy (tożsamość = nazwa + loader)."
"ClassNotFoundException — kiedy?","Jawne ładowanie po nazwie w runtime (Class.forName/loadClass) nie znalazło klasy; checked Exception."
"NoClassDefFoundError — kiedy?","Klasa była przy kompilacji, ale brak jej w runtime, lub nieudana wcześniejsza inicjalizacja (<clinit>); to Error."
"Triggery inicjalizacji klasy (JLS)?","new, dostęp do niestałego pola statycznego, wywołanie metody statycznej, refleksja (forName), inicjalizacja podklasy, klasa z main."
"Co NIE inicjalizuje klasy?","X.class, instanceof, dostęp do static final stałej kompilacji (jest inline'owana)."
"Kiedy klasa może być wyładowana (unloaded)?","Gdy jej classloader staje się nieosiągalny i zostaje zebrany przez GC — razem z klasami."
"Zastosowania custom classloaderów?","Serwery aplikacji (izolacja WAR), pluginy/OSGi, hot reload, izolacja różnych wersji bibliotek."
"Classpath vs module path?","Classpath — płaska lista, słaba enkapsulacja; module path — JPMS z requires/exports, silna enkapsulacja i kontrola konfliktów."
"Po co jest Garbage Collector?","Automatycznie zwalnia pamięć obiektów nieosiągalnych z GC roots — nie ma ręcznego free jak w C/C++."
"Jak JVM decyduje, że obiekt jest śmieciem?","Gdy jest nieosiągalny przez żaden łańcuch referencji z GC roots (reachability, nie reference counting)."
"Wymień GC roots.","Zmienne lokalne/parametry na stosach wątków, statyczne pola klas, referencje JNI, aktywne wątki, monitory (synchronized)."
"Czemu GC z osiągalnością radzi sobie z cyklami?","Bo liczy się dojście z roots, a nie liczba referencji — cykl nieosiągalny z roots jest zbierany, mimo że obiekty wskazują na siebie."
"Na czym polega mark-sweep?","Mark: oznacz żywe idąc od roots; Sweep: zwolnij nieoznaczone. Zostawia fragmentację."
"Czym różni się mark-sweep-compact od mark-sweep?","Dokłada fazę compact — upycha żywe obiekty obok siebie, eliminuje fragmentację (szybka alokacja bump-the-pointer)."
"Na czym polega algorytm copying?","Kopiuje żywe obiekty do drugiej połowy heapa, starą czyści hurtem. Praca proporcjonalna do liczby żywych, brak fragmentacji, koszt ~2x pamięci."
"Co mówi weak generational hypothesis?","Większość obiektów umiera młodo — stąd podział heapa na young (częsty tani GC) i old (rzadki drogi GC)."
"Czym różni się minor GC od full GC?","Minor GC sprząta tylko Young (copying, częsty, krótki); Full GC sprząta całość (Young+Old+metaspace, rzadki, drogi)."
"Co to promocja (tenuring) obiektu?","Awans obiektu z Young do Old, gdy przeżyje próg minor GC (MaxTenuringThreshold) lub nie mieści się w Survivorze."
"Co to stop-the-world (STW)?","Pauza, w której GC zatrzymuje wszystkie wątki aplikacji na safepoint, by bezpiecznie przejść po grafie obiektów."
"Który GC jest domyślny w Java 21 i czym się cechuje?","G1 — regionowy, balans pauzy/throughput, sterowany celem pauzy MaxGCPauseMillis, robi mixed collections."
"Co to humongous object w G1?","Obiekt większy niż połowa regionu — trafia do specjalnych humongous regions, powoduje fragmentację i może wymuszać Full GC."
"Jak ZGC i Shenandoah osiągają pauzy sub-ms?","Prawie cała praca (mark, relocation) jest concurrent; używają colored pointers / load(read) barriers, STW to tylko krótkie fazy sync — pauzy <1ms niezależne od rozmiaru heapa."
"Do czego służy kolektor Epsilon?","No-op GC: alokuje, ale nie zwalnia pamięci; do testów wydajności/allocation rate — proces padnie na OOM."
"Kiedy wybrać Parallel, a kiedy ZGC?","Parallel gdy liczy się throughput (batch), ZGC gdy liczy się niska latency/p99 i duże heapy."
"Podaj typowe źródła memory leak w Javie.","Statyczne rosnące kolekcje/cache bez eviction, niezamknięte zasoby, nieodpięte listenery/callbacki, ThreadLocal w puli wątków bez remove()."
"Czemu finalize() jest zły i czym go zastąpić?","Jest deprecated for removal — nieprzewidywalny, spowalnia GC, może wskrzeszać obiekty. Zamiast: try-with-resources (AutoCloseable) lub Cleaner."
"Jak zdiagnozować memory leak?","JFR/JMC (allocation, pauzy), heap dump (jmap / HeapDumpOnOutOfMemoryError) analizowany w MAT — path to GC roots pokazuje, co retainuje obiekty."
"Jakie flagi ustawiają rozmiar heapa i kolektor?","-Xms/-Xmx (rozmiar heapa), -XX:+UseG1GC/UseZGC/UseParallelGC (kolektor), -XX:MaxGCPauseMillis (cel pauzy G1)."
"Jak włączyć logi GC w nowoczesnym JDK?","-Xlog:gc* (Unified Logging) — zastąpiło stare -XX:+PrintGCDetails."
"Czym jest Java Memory Model?","Kontrakt (JSR-133) mówiący, kiedy zapis w jednym wątku jest widoczny dla innego i jaka kolejność operacji jest gwarantowana."
"Trzy problemy, które rozwiązuje JMM?","Visibility (widoczność między cache/rejestrami rdzeni), reordering (kompilator+CPU zmieniają kolejność), atomicity."
"Co to happens-before?","Relacja: jeśli A HB B, to efekty zapisów A są widoczne dla B i A nie może być przestawione za B."
"Czy happens-before dotyczy czasu zegarowego?","Nie — dotyczy widoczności i kolejności pamięciowej, nie realnego czasu."
"Reguła HB dla volatile?","Zapis pola volatile HB każdy kolejny odczyt tego samego pola."
"Reguła HB dla monitora?","Zwolnienie monitora HB każde kolejne nabycie tego samego monitora."
"Reguła HB dla Thread.start?","Wywołanie start() HB wszystkie akcje w uruchomionym wątku."
"Reguła HB dla Thread.join?","Wszystkie akcje w wątku HB powrót z join() na tym wątku."
"Czy happens-before jest przechodnia?","Tak — jeśli A HB B i B HB C, to A HB C."
"Co gwarantuje volatile?","Widoczność (odczyt widzi ostatni zapis) i zakaz reorderingu wokół dostępu; NIE daje atomowości operacji złożonych."
"Czemu volatile i++ jest błędne?","i++ to read-modify-write (3 kroki); volatile nie robi go atomowym — potrzebny AtomicInteger lub synchronized."
"Co daje synchronized poza wzajemnym wykluczaniem?","Happens-before przez monitor: unlock HB kolejny lock na tym samym monitorze — czyli widoczność."
"Co to final field freeze?","Bariera na końcu konstruktora: wątek widzący w pełni zbudowany obiekt widzi kompletne pola final (o ile this nie wyciekło)."
"Definicja data race?","Dwa dostępy do tej samej zmiennej, min. jeden zapis, bez uporządkowania relacją happens-before."
"Czemu data race to problem?","Program z race'em jest w praktyce UB — brak gwarancji wartości, kompilator może agresywnie optymalizować, wynik zależy od CPU/JIT."
"Co to word tearing?","Nieatomowy zapis long/double (na 32-bit rozbity na dwa) — inny wątek widzi pół starej, pół nowej wartości; volatile wymusza atomowość."
"Wzorce safe publication?","Zapis referencji do volatile, do pola final, w bloku synchronized, statyczny inicjalizator lub kolekcja współbieżna."
"Jak volatile mapuje się na bariery sprzętu?","Odczyt ~ LoadLoad+LoadStore (acquire), zapis ~ StoreStore+StoreLoad (release)."
"Czemu while(flag) bez volatile może być nieskończone?","JIT może odczytać flag raz i trzymać w rejestrze/cache — zmiana z innego wątku nigdy nie jest widoczna."
"volatile vs synchronized — kluczowa różnica?","volatile: tylko widoczność+kolejność pojedynczego pola, bez mutexu; synchronized: mutex + widoczność całej sekcji + atomowość względem monitora."
"Czemu JVM zaczyna od interpretera, a nie od kompilacji?","Interpreter rusza natychmiast (zero kosztu startu) i zbiera profil runtime; kompilacja jest droga i bez profilu dawałaby słabe spekulacje."
