#separator:comma
#html:true
#notetype:Basic
#deck:Java::10 Cloud-native
"Czym jest The Twelve-Factor App?","Metodologia (Heroku) budowy aplikacji SaaS/cloud-native — 12 zasad dla przenośności, skalowalności i continuous deployment."
"Czynnik I (Codebase)?","Jedna baza kodu w VCS, wiele wdrożeń z tej samej bazy; różni je config, nie kod."
"Czynnik II (Dependencies)?","Zależności jawne i izolowane — w Javie Maven/pom.xml + fat JAR ze spring-boot-maven-plugin, żadnych system-wide."
"Czynnik III (Config)?","Konfiguracja w środowisku (zmienne env), nie w kodzie; sekrety poza repo (env/Vault/K8s Secrets)."
"Czynnik IV (Backing services)?","Baza/kolejka/cache jako podłączalne zasoby przez URL w configu — wymiana bez zmiany kodu."
"Czynnik V (Build/release/run)?","Trzy rozdzielone etapy; release = artefakt + config, immutable i wersjonowany; realizuje CI/CD."
"Czynnik VI (Processes)?","Procesy BEZSTANOWE — stan w bazie/cache, nie w pamięci/sesji; podstawa skalowania i load-balancingu."
"Czynnik VII (Port binding)?","Aplikacja sama wystawia usługę przez port — embedded Tomcat w Spring Boot, bez zewn. serwera."
"Czynnik VIII (Concurrency)?","Skalowanie poziome przez procesy/repliki (nie większa maszyna); w K8s HPA / kubectl scale."
"Czynnik IX (Disposability)?","Szybki start i graceful shutdown, odporność na nagłe ubicie; w Boot server.shutdown=graceful."
"Czynnik X (Dev/prod parity)?","Minimalne różnice dev↔prod — te same backing services; pomaga Testcontainers."
"Czynnik XI (Logs)?","Logi jako strumień zdarzeń na stdout/stderr; aplikacja nie zarządza plikami — agregator przechwytuje."
"Czynnik XII (Admin processes)?","Zadania jednorazowe (migracje, skrypty) jako procesy w tym samym release/środowisku; np. Flyway."
"Dlaczego JWT zamiast HttpSession w cloud-native?","Bo proces ma być bezstanowy — token niesie stan weryfikowalny lokalnie, więc każda replika obsłuży żądanie bez sticky sessions."
"Dlaczego 12-factor to fundament pod Kubernetes?","Kontener jest efemeryczny i wielokrotny — K8s wstrzykuje config przez env/Secrets, zbiera logi ze stdout, ubija/skaluje repliki; wymaga bezstanowości."
"Co to ""beyond 12-factor""?","Rozszerzenia (Kevin Hoffman): m.in. API first, telemetry/observability, authentication/authorization jako pierwszorzędne wymiary."
"Dlaczego release ma być immutable?","By nie edytować kodu na produkcji — każda zmiana to nowy build+release, co daje powtarzalność i łatwy rollback."
"Jak Spring Boot wspiera port binding?","Ma wbudowany serwer (Tomcat/Netty) — java -jar startuje HTTP na server.port, bez zewnętrznego kontenera serwletów."
"Co grozi za trzymanie stanu w HttpSession w pamięci?","Wymusza sticky sessions na load-balancerze, a autoscaling/rolling update gubi dane użytkowników."
"Gdzie w 12-factor trafiają sekrety?","Do środowiska (zmienne env / Vault / K8s Secrets), NIGDY do repozytorium/JAR-a."
"Co to Continuous Integration?","Częste scalanie do wspólnej gałęzi z automatycznym buildem i testami — szybkie wykrycie konfliktów i regresji."
"Continuous Delivery vs Continuous Deployment?","Delivery: każda zmiana zdatna do wdrożenia, ale deploy odpala człowiek (bramka). Deployment: deploy automatyczny po zielonym pipeline."
"Warunek wstępny Continuous Delivery/Deployment?","Działające CI (automatyczny build + testy przy każdym merge)."
"Zasada ""build once, deploy many""?","Buduj artefakt/obraz raz, ten sam immutable obraz wdrażaj na dev/staging/prod — powtarzalność i audytowalność."
"Typowe etapy pipeline Spring Boot?","checkout → build (Maven) → unit → integration (Testcontainers) → jakość (SonarQube/JaCoCo) → skan CVE (OWASP/Snyk) → obraz → push → migracje (Flyway) → deploy (k8s)."
"Co robi JaCoCo, a co SonarQube?","JaCoCo mierzy code coverage; SonarQube robi static analysis (bugs, smells, security) i pilnuje quality gate."
"Co wykrywa OWASP Dependency-Check / Snyk?","Znane podatności (CVE) w zależnościach — Software Composition Analysis (SCA)."
"Hierarchia GitHub Actions?","workflow → jobs (równoległe/zależne) → steps; job biegnie na runnerze (hosted/self-hosted)."
"Po co cache ~/.m2 w CI?","Żeby nie pobierać zależności Maven przy każdym runie — przyspiesza build."
"Rolling update — jak i jakie ryzyko?","Pody wymieniane partiami, bez downtime; ryzyko: przez chwilę działają dwie wersje naraz (kompatybilność API/DB)."
"Blue-green deployment?","Dwa pełne środowiska (stare/nowe), ruch przełączany naraz; natychmiastowy rollback, ale 2× zasoby."
"Canary deployment?","Nowa wersja dostaje najpierw mały % ruchu; przy dobrych metrykach zwiększasz — wczesne wykrycie problemu."
"Co to GitOps?","Pożądany stan klastra deklaratywnie w Git; ArgoCD/Flux (pull) synchronizują klaster z repo; rollback = git revert."
"Gdzie trzymać sekrety w pipeline?","Nigdy w repo — GitHub Secrets / Vault / secret manager, wstrzykiwane jako env w runtime."
"Co to flaky test?","Test raz zielony, raz czerwony bez zmiany kodu (czas/kolejność/sieć); podkopuje zaufanie i maskuje regresje."
"Co znaczy fail-fast w pipeline?","Najszybsze/najtańsze bramki pierwsze; pipeline pęka jak najwcześniej, żeby oszczędzić czas i zasoby."
"Trunk-based development?","Krótkożyjące gałęzie, częsty merge do main, feature flags zamiast długich branchy."
"SemVer — co oznaczają segmenty?","MAJOR.MINOR.PATCH: MAJOR = breaking change, MINOR = nowa funkcja wstecznie kompatybilna, PATCH = poprawka."
"Czemu tagować obraz SHA/semver, a nie latest?","Immutable, powtarzalny i audytowalny deploy; latest jest ruchomy i psuje reproducibility."
"Czym są jobs vs steps w CI?","Jobs to jednostki wykonywane (równolegle/zależnie) na runnerach; steps to kolejne komendy/akcje w obrębie joba."
"Czym jest kontener (technicznie)?","Izolowanym procesem Linuxa — izolacja przez namespaces, limity zasobów przez cgroups; NIE maszyną wirtualną."
"Kontener vs VM — kluczowa różnica?","VM ma własne pełne jądro gościa (ciężki, boot w sekundach); kontener współdzieli jądro hosta (lekki, start w ms)."
"Co dają namespaces?","Izolację widoczności: własny PID, mount, network, UTS, IPC, user — proces nie widzi reszty systemu."
"Co dają cgroups?","Limity zasobów (pamięć, CPU, I/O); to cgroup zabija proces jako OOMKilled po przekroczeniu pamięci."
"Co to obraz OCI?","Niemutowalny szablon zbudowany z warstw read-only wg standardu Open Container Initiative."
