#separator:comma
#html:true
#notetype:Basic
#deck:Java::05 Spring
"Co dodaje Spring Boot Actuator?","Production-ready endpointy do monitoringu i zarządzania aplikacją w runtime (health, metrics, loggers...)."
"Jaka zależność włącza Actuator?","spring-boot-starter-actuator."
"Który endpoint jest domyślnie eksponowany po HTTP?","Tylko /health — resztę trzeba świadomie włączyć przez exposure.include."
"Jak wyeksponować wybrane endpointy?","management.endpoints.web.exposure.include=health,info,prometheus (lub * dla wszystkich)."
"Co robi /loggers przez POST?","Zmienia poziom logowania danego pakietu w runtime, bez restartu aplikacji."
"Do czego /threaddump i /heapdump?","Diagnostyka: zrzut wątków (deadlocki) i zrzut sterty (.hprof, analiza OOM)."
"Do czego /conditions?","Raport auto-configuration — co i dlaczego się (nie) załączyło."
"Jak /health liczy status ogólny?","Agreguje HealthIndicatory; wynik = najgorszy status (DOWN wygrywa nad UP)."
"Przykłady wbudowanych health indicators?","db (DataSource), diskSpace, ping oraz per dostawca (Redis, Kafka, Mongo...)."
"Liveness probe — co oznacza padnięcie?","Proces w nieodwracalnym stanie ⇒ Kubernetes restartuje pod."
"Readiness probe — co oznacza padnięcie?","Aplikacja niegotowa ⇒ k8s usuwa pod z load balancera (nie kieruje ruchu), ale nie restartuje."
"Klasyczny błąd z probes?","Zależność do bazy w liveness ⇒ kaskadowe restarty floty przy chwilowej awarii bazy (powinien być readiness)."
"Czym jest Micrometer?","Fasadą/abstrakcją metryk (jak SLF4J dla logów); kod raz, backend (Prometheus, Datadog...) przez zależność."
"Cztery typy mierników Micrometera?","Counter (rosnący), Gauge (chwilowa wartość +/-), Timer (czas+liczba), DistributionSummary (rozkład wartości)."
"Counter vs Gauge?","Counter rośnie monotonicznie (liczba zdarzeń); Gauge to chwilowa wartość, która rośnie i maleje."
"Co robią tagi (dimensions) metryk?","Doklejają wymiary (endpoint, status) do filtrowania/agregacji; uwaga na wysoką kardynalność."
"Dlaczego wysoka kardynalność tagów jest groźna?","Każda kombinacja wartości to nowa seria czasowa — eksplozja serii zabija Prometheusa."
"Jak dodać własny health check?","Zaimplementować HealthIndicator (@Component) i zwrócić Health.up()/down() z detalami."
"Jak stworzyć własną metrykę?","Wstrzyknąć MeterRegistry i zbudować np. Counter.builder(""nazwa"").register(registry)."
"Jak bezpiecznie wystawić Actuator na produkcji?","Osobny port (management.server.port), zabezpieczenie Spring Security, nie eksponować /env, /heapdump publicznie."
"Jak dorzucić dane do /info?","Zaimplementować InfoContributor i dodać detale przez Info.Builder."
"Co to Spring Boot auto-configuration?","Automatyczne tworzenie i konfigurowanie beanów na podstawie tego, co jest na classpath i w properties."
"@SpringBootApplication składa się z?","@Configuration (@SpringBootConfiguration) + @EnableAutoConfiguration + @ComponentScan."
"Za co odpowiada @ComponentScan w @SpringBootApplication?","Skanuje pakiet klasy main i pakiety podrzędne w poszukiwaniu @Component/@Service/@Repository/@Controller."
"Za co odpowiada @EnableAutoConfiguration?","Włącza mechanizm auto-konfiguracji przez import AutoConfigurationImportSelector."
"Skąd Boot bierze listę auto-konfiguracji?","Z pliku META-INF/spring/org.springframework.boot.autoconfigure.AutoConfiguration.imports w JAR-ach na classpath."
"Jak nazywał się plik z listą auto-configów przed Boot 2.7?","META-INF/spring.factories (klucz EnableAutoConfiguration)."
"Co robi @ConditionalOnClass?","Aktywuje beana/config tylko, gdy dana klasa jest obecna na classpath."
"Co robi @ConditionalOnMissingBean i czemu jest kluczowe?","Tworzy beana tylko, gdy nie zdefiniowano go wcześniej — dzięki temu Twój bean nadpisuje auto-config."
"Co robi @ConditionalOnProperty?","Aktywuje config tylko, gdy właściwość ma zadaną wartość (np. enabled=true)."
"Co robi @ConditionalOnWebApplication?","Aktywuje config tylko w aplikacji webowej (można zawęzić do SERVLET lub REACTIVE)."
"Jak nadpisać domyślny bean auto-configu?","Zdefiniować własny bean tego typu — dzięki @ConditionalOnMissingBean auto-config się wycofa."
"Jak wyłączyć całą auto-konfigurację?","@SpringBootApplication(exclude=Xxx.class) lub property spring.autoconfigure.exclude=..."
"Czym jest spring-boot-starter-*?","Kurowany zestaw zależności (nie kod), który ściąga bibliotekę + spring-boot-autoconfigure z warunkowymi configami."
"Jak sterować kolejnością auto-konfiguracji?","@AutoConfigureBefore / @AutoConfigureAfter / @AutoConfigureOrder (nie zwykłe @Order)."
"Jak podejrzeć, co się skonfigurowało?","Uruchom z --debug (ConditionsEvaluationReport) lub użyj /actuator/conditions oraz /actuator/beans."
"Co pokazują Negative matches w raporcie warunków?","Odrzucone configi i którego @Conditional zabrakło (np. brak klasy lub property=false)."
"Jak stworzyć własną auto-konfigurację?","Klasa @AutoConfiguration z warunkowymi @Bean + wpis FQCN w META-INF/spring/...AutoConfiguration.imports."
"Jak Boot wiąże properties na obiekty?","@ConfigurationProperties(prefix) + @EnableConfigurationProperties, z relaxed binding (server.port = SERVER_PORT)."
"Czemu klasa main powinna być w korzeniu pakietów?","Bo @ComponentScan skanuje jej pakiet i podpakiety — inaczej część beanów nie zostanie znaleziona."
"Kiedy własny bean NIE nadpisze auto-configu?","Gdy dany @Bean w auto-configu nie ma @ConditionalOnMissingBean — wtedy trzeba użyć exclude."
"Co to IoC (Inversion of Control)?","Zasada: framework (nie twój kod) tworzy i wiąże obiekty; ty tylko deklarujesz zależności."
"Co to DI (Dependency Injection)?","Technika realizująca IoC — zależności są wstrzykiwane z zewnątrz zamiast tworzone przez new wewnątrz klasy."
"IoC vs DI — relacja?","DI to konkretna forma IoC dotycząca dostarczania zależności; IoC jest pojęciem szerszym."
"Co to bean?","Obiekt tworzony, składany i zarządzany przez kontener IoC Springa."
"BeanFactory vs ApplicationContext?","ApplicationContext to nadzbiór BeanFactory — dodaje eager init singletonów, zdarzenia, i18n, AOP, Environment. Używasz go domyślnie."
"Czym różni się @Repository od @Component?","Semantyką warstwy danych + włącza translację wyjątków JDBC/JPA na DataAccessException."
"Kiedy @Bean w @Configuration zamiast stereotypu?","Gdy nie możesz dodać adnotacji (klasa z biblioteki) lub konstrukcja beana wymaga logiki."
"Który typ wstrzykiwania preferować i czemu?","Konstruktorowe — pola final (niemutowalność), zależności wymagane i jawne, łatwe testy, wykrycie cykli na starcie."
"Czemu field injection jest odradzane?","Brak final (mutowalne), ukrywa zależności, testy wymagają refleksji/kontenera, zachęca do cykli."
"Kiedy setter injection?","Dla zależności opcjonalnych lub rekonfigurowalnych — obiekt może istnieć bez nich."
"Kolejność rozwiązywania @Autowired?","Najpierw po typie, potem po nazwie; rozstrzyga @Primary (globalny) lub @Qualifier (jawny)."
"Jaki wyjątek przy wielu kandydatach tego samego typu?","NoUniqueBeanDefinitionException."
"@Primary vs @Qualifier?","@Primary = globalny domyślny zwycięzca; @Qualifier = jawny wybór w konkretnym punkcie wstrzyknięcia."
"Co dostaniesz wstrzykując List<Interfejs>?","Wszystkie beany danego typu (Map<String,T> — kluczem nazwa beana). Przydatne do wzorca strategii."
"Domyślny scope beana?","singleton — jedna instancja na kontener (ApplicationContext)."
"Singleton scope to wzorzec Singleton?","Nie — to ""jeden na kontener"", bez prywatnego konstruktora/statycznej instancji na JVM. Musi być bezstanowy."
"Scope prototype?","Nowa instancja przy każdym pobraniu; Spring nie woła jego @PreDestroy."
"Kolejność cyklu życia beana?","Instancjonowanie → wstrzyknięcie zależności → *Aware → BPP before → @PostConstruct/InitializingBean → gotowy → @PreDestroy."
"Gdzie powstają proxy (AOP, @Transactional)?","W BeanPostProcessor.postProcessAfterInitialization — dlatego wstrzyknięty bean bywa proxy."
"Cykliczna zależność konstruktorowa?","BeanCurrentlyInCreationException na starcie — żaden bean nie może być pierwszy."
