#separator:comma
#html:true
#notetype:Basic
#deck:Java::12 Wzorce
"Czym jest antywzorzec?","Powtarzalnym, pozornie dobrym rozwiązaniem, które systematycznie szkodzi (utrudnia zmiany/testy)."
"Czym jest code smell?","Sygnałem ostrzegawczym w kodzie — nie błędem, lecz objawem głębszego problemu projektowego."
"Smell vs antywzorzec?","Smell to czerwona lampka do zbadania; antywzorzec to konkretna, nazwana pułapka projektowa."
"Co to God Object i jak naprawić?","Klasa robiąca wszystko; rozbić wg Single Responsibility (Extract Class, kompozycja)."
"Co to Anemic Domain Model?","Encje bez logiki, reguły w serwisach; w DDD antywzorzec, w prostym CRUD często akceptowalny."
"Co to Primitive Obsession i lek?","Reprezentowanie pojęć domenowych gołymi String/int; lek: value objects / record."
"Co to Long Parameter List i lek?","Zbyt wiele parametrów; lek: obiekt parametrów (Parameter Object) lub Builder."
"Co to Feature Envy?","Metoda bardziej interesuje się danymi innej klasy niż własnej; lek: Move Method."
"Co to Shotgun Surgery?","Jedna zmiana biznesowa wymaga edycji w wielu miejscach; lek: skonsolidować odpowiedzialność."
"Co to Magic Number/String i lek?","Literał bez nazwy w kodzie; lek: nazwana stała / enum / konfiguracja."
"Dlaczego Singleton bywa antywzorcem?","Bo jako statyczny mutowalny stan = globalna zmienna: psuje testy i ukrywa zależności."
"Service Locator vs DI?","Locator ukrywa zależności i wymaga globalnego rejestru; DI wstrzykuje jawne zależności — testowalne."
"Field injection vs constructor injection?","Konstruktor: jawne zależności, pola final, test bez kontenera; pole: ukryte, brak final."
"Czemu nie zwracać encji JPA z kontrolera?","Wyciek modelu persystencji, lazy poza sesją, over-posting; użyj DTO + mapper."
"Co to catch-and-swallow?","Złapanie wyjątku i zignorowanie (pusty catch); maskuje błędy — obsłuż lub przepuść dalej."
"Czemu @Transactional nie działa przy self-invocation?","Bo wywołanie z tej samej klasy omija proxy Springa — transakcja nie startuje."
"Co to distributed monolith?","Mikroserwisy sprzężone (wspólna baza / synchroniczne łańcuchy) — koszt rozproszenia bez korzyści."
"Rozwiń SOLID.","Single Responsibility, Open/Closed, Liskov Substitution, Interface Segregation, Dependency Inversion."
"Co znaczy DRY, KISS, YAGNI?","Nie powtarzaj wiedzy; trzymaj prosto; nie buduj pod hipotetyczną przyszłość."
"Co mówi prawo Demeter?","Wołaj tylko własne metody/pola, argumenty i lokalnie tworzone obiekty — unikaj a.getB().getC()."
"Co to Premature Optimization?","Komplikowanie kodu bez pomiaru; optymalizuj po profilowaniu realnego wąskiego gardła (YAGNI)."
"Co to N+1 i lek?","1 zapytanie po listę + N po relacje; lek: JOIN FETCH / @EntityGraph / batch fetch."
"PoEAA to?","Katalog wzorców enterprise Martina Fowlera (Patterns of Enterprise Application Architecture) — organizacja logiki i dostępu do danych."
"Wzorzec Repository — problem i rozwiązanie?","Ukrywa dostęp do danych jako kolekcję agregatów domeny; w Springu JpaRepository<T,ID>."
"Repository vs DAO — różnica?","Ten sam cel, inny akcent: Repository mówi językiem domeny (kolekcja agregatów), DAO akcentuje technologię/źródło (jedna tabela, EntityManager)."
"Który wzorzec realizuje persistence context jako ""śledzenie zmian i jedna transakcja""?","Unit of Work — Hibernate wykrywa zmiany (dirty checking) i wypycha je jednym commit."
"Co to Identity Map i co ją realizuje w Hibernate?","Gwarancja jeden obiekt na jedno id w sesji; realizuje cache L1 (persistence context) — dwa findById zwracają tę samą instancję."
"Co to Lazy Loading i jaka jest jego główna pułapka?","Ładowanie relacji dopiero przy dostępie (proxy); pułapka to N+1 select i LazyInitializationException poza sesją."
"Czemu nie trzeba wołać save() po zmianie encji zarządzanej?","Bo Unit of Work robi dirty checking — Hibernate porównuje stan i generuje UPDATE przy flush/commit."
"Wzorzec Service Layer — po co?","Warstwa przypadków użycia i granica transakcji (@Transactional) między Controllerem a Repository."
"Wzorzec DTO — problem i rozwiązanie?","Nie wystawiaj encji (proxy, cykle, coupling ze schematem) — przenoś dane płaskim obiektem (record) przez granicę API."
"Wzorzec Mapper w Springu?","Osobny obiekt Entity↔DTO; MapStruct generuje implementację w compile-time (bez refleksji)."
"Wzorzec Specification w Spring Data?","Kryterium zapytania jako składalny obiekt (Specification<T> + JpaSpecificationExecutor) zamiast mnożenia metod findByAAndB."
"Dependency Injection — na czym polega?","Komponent dostaje zależności z kontenera IoC (najlepiej przez konstruktor) zamiast tworzyć je sam."
"Transaction Script vs Domain Model?","Transaction Script = logika proceduralnie w Service (encje anemiczne); Domain Model = logika w encjach/agregatach, Service tylko orkiestruje."
"Table Module to?","Jedna instancja obsługuje całą tabelę (nie jeden rekord); rzadkie w Javie, bliskie światu ADO.NET."
"Active Record vs Repository — czemu w JPA Repository?","Active Record: encja sama się zapisuje; w JPA rozdziela się encję (stan/logika) od Repository (persystencja) — testowalność, brak mieszania odpowiedzialności."
"Value Object — czym jest i jak w Javie 21?","Obiekt bez tożsamości, porównywany przez wartość, niemutowalny; idealnie record albo @Embeddable."
"Optimistic locking — jak działa?","Kolumna @Version; UPDATE dostaje WHERE version=? i podbija wersję; konflikt = 0 wierszy = OptimisticLockException."
"Pessimistic locking — jak i kiedy?","SELECT ... FOR UPDATE (@Lock(PESSIMISTIC_WRITE)); blokuje rekord — dla krótkich operacji o wysokiej kontencji."
"Optimistic czy pessimistic domyślnie w webie?","Zwykle optimistic — brak blokad w bazie, tanie, kolizje rzadkie przy read-modify-write przez UI."
"Gateway/Adapter — po co?","Fasada nad zewnętrznym systemem (REST, kolejka) izolująca domenę od szczegółów integracji; port+adapter w architekturze heksagonalnej."
"CQRS — na czym polega i kiedy warto?","Rozdzielenie modelu zapisu (komendy) i odczytu (projekcje); warto gdy odczyty/zapisy mają radykalnie różne wymagania — nie w prostym CRUD."
"Które wzorce PoEAA Spring/Hibernate robi za Ciebie?","Repository/DAO (Spring Data), Unit of Work+Identity Map+Lazy Loading (persistence context), DI (IoC), locking (@Version/FOR UPDATE), Mapper (MapStruct)."
"Czym jest wzorzec projektowy?","Sprawdzone, nazwane rozwiązanie powtarzalnego problemu projektowego + wspólny język zespołu (nie gotowy kod)."
"Trzy kategorie wzorców GoF?","Kreacyjne (tworzenie), strukturalne (składanie), behawioralne (współpraca/algorytmy)."
"Co oznacza ""GoF""?","Gang of Four — czterej autorzy książki Design Patterns (1994) z katalogiem 23 wzorców."
"Najbezpieczniejszy Singleton w Javie?","Enum singleton — JVM gwarantuje jednokrotną inicjalizację i odporność na serializację/refleksję."
"Czym różni się singleton bean Springa od wzorca Singleton?","Bean singleton to scope kontenera (jedna instancja na kontekst, testowalna przez DI), nie globalny statyczny singleton GoF."
"Przykład Factory w JDK?","Integer.valueOf(int), List.of(...), Executors.newFixedThreadPool(...), Calendar.getInstance()."
"Przykład Abstract Factory w JDK?","DocumentBuilderFactory / TransformerFactory (rodziny parserów XML)."
"Problem rozwiązywany przez Builder?","Klasa z wieloma (opcjonalnymi) polami — zastępuje teleskopowe konstruktory czytelnym, fluent tworzeniem."
"Przykłady Buildera w JDK?","StringBuilder, Stream.Builder, HttpRequest.newBuilder(), Locale.Builder; w Lomboku @Builder."
"Co to Prototype i jak dziś w Javie?","Tworzenie obiektu przez klonowanie istniejącego; dziś preferuj copy constructor / record zamiast Cloneable.clone()."
"Co robi Adapter?","Tłumaczy interfejs jednego obiektu na interfejs oczekiwany przez klienta (np. Arrays.asList, InputStreamReader)."
"Podręcznikowy przykład Decoratora w JDK?","BufferedReader opakowujący Reader — dynamicznie dodaje buforowanie bez dziedziczenia."
"Rola @Service jako wzorca?","Facade — uproszczony interfejs koordynujący złożony podsystem (repozytoria, płatności, zdarzenia)."
"Jak Spring realizuje @Transactional/@Cacheable?","Przez Proxy (JDK dynamic proxy dla interfejsów lub CGLIB dla klas) w Spring AOP."
"Czemu samowywołanie metody @Transactional nie działa?","Wywołanie wewnętrzne omija proxy — adnotacja działa tylko na wywołaniach przez proxy."
"Co ilustruje Integer cache?","Flyweight — Integer.valueOf cache'uje -128..127, więc te instancje są współdzielone (==)."
"Strategy w nowoczesnej Javie?","Wymienny algorytm jako lambda/interfejs funkcyjny; kanoniczny przykład to Comparator."
"Observer w Springu?","Application Events — ApplicationEventPublisher + @EventListener dla luźnego wiązania komponentów."
"Co to Template Method i przykład?","Szkielet algorytmu z nadpisywalnymi krokami/hakami; JDK AbstractList, Spring JdbcTemplate."
"Który wzorzec kryje for-each po kolekcji?","Iterator — Iterable/Iterator; for-each to cukier składniowy na Iterator."
"Gdzie w Javie widać Chain of Responsibility?","Filtry Servlet (FilterChain) i łańcuch filtrów Spring Security."
"Czym pattern matching zastępuje Visitor?","switch z wzorcami po sealed/record — nowa operacja = nowy switch, bez double dispatch."
"Runnable/Callable jako wzorzec?","Command — żądanie opakowane w obiekt, kolejkowane w ExecutorService."
"Główna zasada stosowania wzorców?","Narzędzie, nie cel — stosuj gdy czujesz ból (zmienność/duplikacja), nie prewencyjnie (inaczej over-engineering)."
"Czym jest refaktoryzacja (Fowler)?","Zmiana wewnętrznej struktury kodu bez zmiany zewnętrznego zachowania, w małych bezpiecznych krokach."
"Dlaczego bez testów to nie refaktoryzacja?","Bez zielonych testów nie masz dowodu, że zachowanie się nie zmieniło — to ryzykowne przepisywanie na ślepo."
"Rola testów w refaktoryzacji?","Siatka bezpieczeństwa (safety net) — zielone przed i po każdym kroku potwierdza behaviour-preserving."
"Co to code smell?","Powierzchowny objaw problemu w strukturze kodu, będący wyzwalaczem refaktoryzacji (np. Long Method, Duplicated Code)."
"Najczęstsza i najważniejsza refaktoryzacja?","Rename oraz Extract Method — dobre nazwy i mały rozmiar metod to najtańsza czytelność."
"Extract Method?","Wydzielenie fragmentu kodu do osobnej, dobrze nazwanej metody."
"Inline Method?","Odwrotność Extract — wstawienie ciała trywialnej metody w miejsce wywołania."
"Introduce Parameter Object?","Grupę parametrów podróżujących razem zamieniasz w jeden obiekt (w Javie 21 często record)."
"Replace Conditional with Polymorphism?","Rozgałęzienie po typie zastępujesz polimorfizmem/method dispatch (lub sealed + pattern matching)."
"Jak sealed pomaga przy Replace Conditional?","Daje exhaustiveness checking — kompilator wymusza obsłużenie każdego wariantu w switch, bez ryzykownego default."
"Replace Nested Conditional with Guard Clauses?","Zagnieżdżone if-y zastępujesz wczesnymi return/throw dla przypadków brzegowych; happy path zostaje płaski."
"Decompose Conditional?","Rozbicie złożonego if/else: warunek i gałęzie wydzielone do nazwanych metod."
"Replace Magic Number with Constant?","Nienazwaną literałową liczbę zastępujesz nazwaną stałą (static final)."
"Co to technical debt (Cunningham)?","Metafora: skrót w kodzie to kredyt — przyspiesza teraz, ale płacisz odsetki (wolniejszy rozwój) do czasu spłaty refaktoryzacją."
"Dług świadomy vs nieświadomy?","Świadomy (deliberate) — celowy skrót, rozsądny jeśli spłacony; nieświadomy (inadvertent) — z niewiedzy, rośnie niezauważony."
"Boy Scout Rule?","Zostaw kod czystszym, niż go zastałeś — spłacaj dług małymi porcjami przy okazji."
"Cykl TDD?","Red (padający test) → Green (najprostszy kod, by przeszedł) → Refactor (posprzątaj przy zielonych testach)."
"Cytat Kenta Becka o zmianie?","Make the change easy (this may be hard), then make the easy change — najpierw refaktoruj, potem dodaj funkcję."
"Kiedy NIE refaktoryzować?","Bez testów, pod presją deadline'u bez potrzeby, oraz gdy kusi rewrite (refaktoryzacja to nie przepisanie od zera)."
"Czemu commity refactor i feature trzymać osobno?","Ułatwia code review — recenzent widzi, że zachowanie bez zmian, i mixed diff nie ukrywa błędów."
