"Dwie główne korzyści generyków?","Type safety w czasie kompilacji (błąd typu = błąd kompilacji) oraz eliminacja ręcznego rzutowania."
"Co oznaczają T, E, K, V?","Type, Element, Key, Value — umowne nazwy parametrów typu (kompilator nie zna ich znaczenia)."
"Co to bounded type parameter?","Ograniczenie parametru, np. <T extends Comparable<T>> — zawęża typy i odblokowuje API granicy; zawsze extends (też dla interfejsów)."
"Co to type erasure?","Wymazanie informacji o generykach po kompilacji: nieograniczone T→Object, ograniczone→granica, usunięcie argumentów typu, wstawienie castów i bridge methods."
"Czy List<String> i List<Integer> to ta sama klasa w runtime?","Tak — getClass() zwraca to samo (ArrayList.class), bo argumenty typu są wymazane przez erasure."
"Czemu nie da się new T[]?","Bo erasure usuwa T w runtime, a tablice muszą znać swój typ komponentu (są reifiable); obejście: (T[]) new Object[n] lub Array.newInstance."
"Czemu nie ma instanceof List<String>?","W runtime istnieje tylko raw List (erasure) — argumentu typu nie da się sprawdzić; dozwolone tylko instanceof List<?>."
"Czym jest bridge method?","Syntetyczna metoda generowana przez kompilator, by nadpisywanie działało po erasure (np. set(Object) delegujący do set(String))."
"Co to heap pollution i po co @SafeVarargs?","Heap pollution: zmienna typu parametryzowanego wskazuje obiekt niezgodnego typu; @SafeVarargs to kontrakt, że generyczne varargs nie psują heapa, wyciszający warning."
"Czemu unikać raw types?","Wyłączają całą kontrolę generyków (degradacja do erasure) — przesuwają błędy typów z kompilacji do runtime (ClassCastException); istnieją tylko dla kompatybilności wstecznej."
"Reifiable vs non-reifiable type?","Reifiable: pełna info istnieje w runtime (String, List, List<?>, tablice prymitywów). Non-reifiable: erasure usuwa argumenty typu (List<String>, T, Map<K,V>)."
"PECS — co to?","Producer Extends, Consumer Super: gdy struktura produkuje dane → <? extends T>; gdy konsumuje → <? super T>."
"Co można robić z List<? extends T>?","Czytać elementy jako T (producer); NIE wolno dodawać (poza null) — nie wiadomo, który podtyp."
"Co można robić z List<? super T>?","Dodawać T i jego podtypy (consumer); czytać tylko jako Object."
"Czemu List<String> nie jest podtypem List<Object>?","Generyki są inwariantne — gdyby były podtypem, można by przez List<Object> wstawić nie-String i dostać ClassCastException przy odczycie."
"Czemu nie ma generycznych wyjątków?","catch działa w runtime, a po erasure JVM nie odróżni MyEx<A> od MyEx<B> — nie można złapać typu parametryzowanego."
"Czy Map jest częścią Collection?","Nie — Map ma osobną hierarchię (przechowuje pary klucz-wartość, nie pojedyncze elementy)."
"Jak HashMap liczy indeks bucketa?","index = hash & (n-1), gdzie hash to wymieszany hashCode, a n to pojemność (potęga 2)."
"Dlaczego pojemność HashMap to potęga 2?","Bo hash & (n-1) jest tańszym odpowiednikiem modulo i równomiernie rozkłada bity."
"Co dzieje się przy kolizji w HashMap?","Łańcuch w buckecie przeszukiwany jest przez equals — równy klucz nadpisuje wartość, nierówny dopina nowy węzeł."
