"Co wykonuje JVM?","Bytecode z plików .class (nie kod źródłowy, nie kod maszynowy bezpośrednio)."
"JDK = ?","JRE + narzędzia deweloperskie (javac, jar, jlink, jdeps, jshell...)."
"JRE = ?","JVM + biblioteki standardowe (środowisko uruchomieniowe)."
"Dlaczego Java jest przenośna?","Kompiluje się do bytecode niezależnego od OS/CPU; konkretna JVM tłumaczy go na kod maszynowy."
"Co robi JIT?","Kompiluje ""gorące"" metody z bytecode do natywnego kodu maszynowego w trakcie działania (C1→C2)."
"Czym jest warm-up JVM?","Początkowy okres interpretacji zanim JIT zoptymalizuje gorący kod — stąd wolniejsze pierwsze wywołania."
"Od której wersji Oracle nie wydaje osobnego JRE?","Od Javy 11 — dystrybuuje się JDK lub własny runtime przez jlink."
"HotSpot to?","Najpopularniejsza implementacja JVM (od Oracle/OpenJDK)."
"Co ile wychodzi feature release Javy od wersji 9?","Co 6 miesięcy (marzec i wrzesień), data sztywna — gotowe funkcje wjeżdżają, reszta czeka."
"Które wersje Javy są LTS?","8, 11, 17, 21 — następna 25 (wrzesień 2025)."
"Jaka jest kadencja LTS od Javy 21?","Co 2 lata (wcześniej co 3 lata: 11→17→21), więc kolejne to 25, 29..."
"Czemu firmy zostają na LTS?","Wieloletnie patche bezpieczeństwa, dojrzały ekosystem/frameworki i niski koszt — bez przepisywania co 6 mies."
"Flagowe cechy Javy 8?","Lambdy, Stream API, funkcyjne interfejsy, Optional, java.time, default methods."
"Co przyniosło przejście 8→11?","JPMS (moduły), var (J10), HttpClient HTTP/2, uruchamianie pliku .java; usunięto Java EE/CORBA."
"Flagowe cechy przejścia 11→17?","Records, sealed classes, pattern matching for instanceof, text blocks, switch expressions, helpful NPE."
"Flagowe cechy Javy 21?","Virtual threads (Loom), pattern matching for switch + record patterns, sequenced collections."
"Jak włączyć preview feature?","Dwie flagi: javac --release N --enable-preview oraz java --enable-preview."
"Czym różni się preview od incubator?","Preview = gotowa funkcja języka/API (możliwa zmiana API); incubator = nowy moduł jdk.incubator.* (wymaga --add-modules)."
"Na jakiej licencji są OpenJDK buildy (Temurin, Corretto)?","GPLv2 + Classpath Exception — darmowe na produkcji, bez ""zarażania"" Twojego kodu GPL."
"Pułapka licencyjna Oracle JDK?","Od 17 licencja NFTC (darmowa per wersja, potem płatny support); 11-16 Oracle JDK na produkcji wymagał płatnej licencji."
"Którą wersję wybrać do nowego projektu w 2026?","Java 21 LTS (virtual threads + nowoczesna składnia, dojrzały ekosystem), dystrybucja Temurin/Corretto."
"Czym jest var w Javie?","Local variable type inference (J10) — kompilator wnioskuje typ; typowanie nadal statyczne, nie dynamiczne."
