#separator:comma
#html:true
#notetype:Basic
#deck:Java::07 API design
"Co to CORS?","Cross-Origin Resource Sharing — mechanizm przeglądarki rozluźniający Same-Origin Policy dla żądań między różnymi originami."
"Kto egzekwuje CORS — serwer czy przeglądarka?","Wyłącznie przeglądarka; serwer tylko deklaruje nagłówkami Access-Control-Allow-*, decyzję o blokadzie podejmuje przeglądarka."
"Czemu curl i Postman ""nie mają CORS""?","CORS jest egzekwowany tylko przez przeglądarkę; klienty spoza przeglądarki ignorują nagłówki Access-Control-*."
"Co to origin w kontekście SOP?","Trójka schemat + host + port; różnica w którymkolwiek = inny origin."
"Czemu localhost:4200 i localhost:8080 to różne originy?","Różnią się portem, a port jest częścią origin."
"Co to preflight?","Automatyczne żądanie OPTIONS wysyłane przez przeglądarkę przed non-simple requestem, pytające serwer o dozwolone metody/nagłówki."
"Kiedy przeglądarka wysyła preflight?","Dla non-simple requestów — np. Content-Type application/json, nagłówek Authorization, metody PUT/DELETE/PATCH."
"Jakie nagłówki niesie preflight?","Origin, Access-Control-Request-Method, Access-Control-Request-Headers."
"Czym odpowiada serwer na preflight?","2xx z Access-Control-Allow-Origin/Methods/Headers oraz opcjonalnie Max-Age."
"Do czego służy Access-Control-Max-Age?","Mówi przeglądarce, jak długo cache'ować wynik preflightu, by nie wysyłać OPTIONS przy każdym żądaniu."
"Czemu Allow-Credentials: true nie działa z Allow-Origin *?","Przy credentials (ciasteczka/Authorization) spec wymaga konkretnego origin; wildcard jest wtedy odrzucany przez przeglądarkę."
"Jak włączyć CORS w Spring Security?","http.cors(...) w SecurityFilterChain + bean CorsConfigurationSource; CorsFilter działa przed autoryzacją."
"Czemu preflight bywa 401/403 w Spring Security?","Security blokuje OPTIONS przed CORS-em, a preflight nie niesie Authorization; trzeba przepuścić OPTIONS (permitAll) i włączyć cors()."
"Czemu błąd 500 bywa pokazany jako ""CORS""?","Bo odpowiedź błędu nie zawiera nagłówków CORS, więc przeglądarka ukrywa ciało i raportuje tylko naruszenie CORS."
"Jaki standard formatu błędów w REST?","Problem Details (RFC 7807), Content-Type application/problem+json; w Spring 6 klasa ProblemDetail."
"Po co traceId w odpowiedzi błędu?","Korelacja odpowiedzi z logami/tracingiem; front pokazuje go userowi, backend odnajduje w logach."
"Jaki status HTTP dla konfliktu zasobu?","409 Conflict — np. optimistic locking lub duplikat."
"Czego NIE ujawniać w odpowiedzi błędu?","Stacktrace, nazw klas, zapytań SQL i ścieżek — to wektor ataku i szum dla frontu."
"Co to DTO?","Data Transfer Object — płaski obiekt do przenoszenia danych przez granicę systemu (API), bez logiki domenowej i bez zarządzania przez EntityManager."
"Dlaczego nie eksponować encji JPA w API?","Sprzęga API ze schematem bazy, grozi LazyInitializationException, wyciekiem pól wrażliwych i mass assignment, utrudnia wersjonowanie i kontrolę kształtu odpowiedzi."
"Czym różni się DTO od encji?","Encja to model bazy (tożsamość @Id, relacje, stan zarządzany, lazy proxy); DTO to kontrakt na granicy systemu bez powiązania z persystencją."
"Dlaczego rekord Javy to dobry DTO?","Jest niemutowalny, zwięzły i ma automatyczne equals/hashCode/toString — idealny nośnik danych."
"Kiedy MapStruct generuje kod mappera?","W czasie kompilacji, jako annotation processor wpięty w javac — tworzy klasę Impl w generated-sources."
"Czy MapStruct używa refleksji w runtime?","Nie — generuje zwykły kod Java (jawne przypisania getterów/konstruktorów), dlatego jest szybki i typobezpieczny."
"Kiedy błąd mapowania MapStruct się ujawnia?","Podczas kompilacji — javac przerywa build, gdy pole target nie ma źródła i nie jest zignorowane, lub przy niedopasowaniu typów."
"Do czego służy @Mapping w MapStruct?","Do sterowania mapowaniem: source/target dla różnych nazw pól, ignore, expression, qualifiedByName."
"Co robi @MappingTarget?","Nadpisuje pola istniejącej instancji zamiast tworzyć nowy obiekt — używane do aktualizacji managed encji (PATCH/PUT)."
"Co daje componentModel=""spring"" w @Mapper?","Wygenerowany mapper dostaje @Component i jest wstrzykiwalnym beanem Springa."
"MapStruct vs ModelMapper?","MapStruct generuje kod przy kompilacji (bez refleksji, błędy w javac, szybko); ModelMapper mapuje refleksją w runtime (wolniej, błędy dopiero w runtime)."
"Jak mapowanie DTO powoduje N+1?","Mapper czytający lazy kolekcję encji doładowuje ją dla każdego elementu listy — zapobiega temu JOIN FETCH/@EntityGraph lub projekcja wprost do DTO."
"Czemu serializacja encji poza transakcją rzuca LazyInitializationException?","Dotyka lazy proxy relacji, gdy sesja Hibernate jest już zamknięta — nie ma jak doładować danych."
"Co to mass assignment i jak DTO go blokuje?","Atak, w którym deserializacja żądania wprost do encji ustawia niedozwolone pola (role, id); DTO żądania zawiera tylko pola dozwolone do zapisu."
"Po co osobne DTO dla request i response?","Mają różne pola (request bez id/audytu, response bez haseł) — zapobiega wyciekom i mass assignment."
"Jak MapStruct mapuje kolekcje i pola zagnieżdżone?","Kolekcje przez metodę List→List (iteruje pojedynczy mapper), zagnieżdżone przez @Mapping(source=""a.b"", target=""c"")."
"Jak dodać własną logikę w mapowaniu MapStruct?","Przez expression=""java(...)"", metodę default z @Named + qualifiedByName, albo klasę abstrakcyjną z metodami pomocniczymi."
"Gdzie należy mapować encję na DTO?","W warstwie serwisu, w obrębie transakcji (lub na już wczytanych danych) — inaczej lazy pola rzucą LazyInitializationException."
"Czym jest OpenAPI?","Języko-niezależną specyfikacją (JSON/YAML) opisującą REST API: paths, operations, schemas, parameters, responses, security."
"OpenAPI a Swagger — różnica?","OpenAPI to specyfikacja (dawniej zwana Swagger do 2.0); Swagger to dziś rodzina narzędzi (UI, Editor, Codegen) wokół niej."
